Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Jackson Vroman\vromaja01,2005,2006,F-C,6-10,220,June 6 1981,Iowa State University
Nikola Vucevic\vucevni01,2012,2019,C,7-0,260,October 24 1990,University of Southern California
Sasha Vujacic\vujacsa01,2005,2017,G,6-7,195,March 8 1984,
Dwyane Wade\wadedw01,2004,2019,G,6-4,220,January 17 1982,Marquette University
Mark Wade\wadema01,1988,1990,G,5-11,160,October 15 1965,University of Oklahoma University of Nevada Las Vegas
Von Wafer\wafervo01,2006,2012,G,6-5,210,July 21 1985,Florida State University
Clint Wager\wagercl01,1950,1950,C-F,6-6,210,January 20 1920,Saint Mary's University of Minnesota
Dajuan Wagner\wagneda02,2003,2007,G,6-2,200,February 4 1983,University of Memphis
Danny Wagner\wagneda01,1950,1950,G,6-0,170,August 1 1922,University of Texas at Austin
Milt Wagner\wagnemi01,1988,1991,G,6-5,185,February 20 1963,University of Louisville
Moritz Wagner\wagnemo01,2019,2019,F-C,6-11,245,April 26 1997,University of Michigan
Phillip Wagner\wagneph01,1969,1969,G,6-2,190,December 18 1945,Georgia Institute of Technology
Dion Waiters\waitedi01,2013,2019,G,6-4,215,December 10 1991,Syracuse University
Granville Waiters\waitegr01,1984,1988,C,6-11,225,January 8 1961,Ohio State University
Andre Wakefield\wakefan01,1979,1980,G,6-3,175,January 11 1955,Loyola University of Chicago
Neal Walk\walkne01,1970,1977,C,6-10,220,July 29 1948,University of Florida
Andy Walker\walkean01,1977,1977,G,6-4,190,March 25 1955,Niagara University
Antoine Walker\walkean02,1997,2008,F,6-8,224,August 12 1976,University of Kentucky
Brady Walker\walkebr01,1949,1952,F-C,6-6,205,March 15 1921,Brigham Young University
Chet Walker*\walkech01,1963,1975,F-G,6-6,212,February 22 1940,Bradley University
Darrell Walker\walkeda01,1984,1993,G,6-4,180,March 9 1961,University of Arkansas
Foots Walker\walkefo01,1975,1984,G,6-0,184,May 21 1951,State University of West Georgia
Henry Walker\walkebi01,2009,2015,F,6-6,220,October 9 1987,Kansas State University
Horace Walker\walkeho01,1962,1962,F,6-3,210,April 17 1937,Michigan State University
Jimmy Walker\walkeji01,1968,1976,G,6-3,195,April 8 1944,Providence College
Kemba Walker\walkeke02,2012,2019,G,6-1,184,May 8 1990,University of Connecticut
Kenny Walker\walkeke01,1987,1995,F,6-8,210,August 18 1964,University of Kentucky
Lonnie Walker\walkelo01,2019,2019,G,6-5,205,December 14 1998,University of Miami
Phil Walker\walkeph01,1978,1978,G,6-3,180,March 20 1956,Millersville University of Pennsylvania
Samaki Walker\walkesa01,1997,2006,F,6-9,240,February 25 1976,University of Louisville
Wally Walker\walkewa01,1977,1984,F,6-7,190,July 18 1954,University of Virginia
John Wall\walljo01,2011,2019,G,6-4,210,September 6 1990,University of Kentucky
Ben Wallace\wallabe01,1997,2012,F-C,6-9,240,September 10 1974,Virginia Union University
Gerald Wallace\wallage01,2002,2015,F,6-7,215,July 23 1982,University of Alabama
John Wallace\wallajo01,1997,2004,F,6-8,225,February 9 1974,Syracuse University
Rasheed Wallace\wallara01,1996,2013,F-C,6-10,225,September 17 1974,University of North Carolina
Red Wallace\wallare01,1947,1947,G,6-1,185,July 12 1918,University of Scranton
Tyrone Wallace\wallaty01,2018,2019,G,6-5,198,June 10 1994,University of California
Dwight Waller\walledw01,1969,1972,F,6-6,220,October 5 1945,Tennessee State University
Jamie Waller\walleja01,1988,1988,G,6-4,215,November 20 1964,Virginia Union University
Taurean Waller-Prince\princta02,2017,2019,F,6-8,220,March 22 1994,Baylor University
Jim Walsh\walshji01,1958,1958,F,6-4,195,August 29 1930,Stanford University
Matt Walsh\walshma01,2006,2006,G-F,6-6,205,December 2 1982,University of Florida
Rex Walters\waltere01,1994,2000,G,6-4,190,March 12 1970,Northwestern University University of Kansas
Paul Walther\walthpa01,1950,1955,G-F,6-2,160,March 23 1927,University of Tennessee
Isaac Walthour\walthis01,1954,1954,G,5-11,163,August 25 1930,
Bill Walton*\waltobi01,1975,1987,C-F,6-11,210,November 5 1952,University of California Los Angeles
Derrick Walton\waltode01,2018,2018,G,6-1,189,April 3 1995,University of Michigan
Lloyd Walton\waltoll01,1977,1981,G,6-0,160,November 23 1953,Marquette University
Luke Walton\waltolu01,2004,2013,F,6-8,235,March 28 1980,University of Arizona
Brad Wanamaker\wanambr01,2019,2019,G,6-4,210,July 25 1989,University of Pittsburgh
Bobby Wanzer*\wanzebo01,1949,1957,G,6-0,170,June 4 1921,Seton Hall University
Perry Warbington\warbipe01,1975,1975,G,6-2,165,September 7 1952,Georgia Southern University
Charlie Ward\wardch01,1995,2005,G,6-2,190,October 12 1970,Florida State University
Gerry Ward\wardge01,1964,1967,G,6-4,195,September 6 1941,Boston College
Henry Ward\wardhe01,1976,1977,G-F,6-4,195,January 30 1952,Jackson State University
Casper Ware\wareca01,2014,2014,G,5-10,175,January 17 1990,California State University Long Beach
Jim Ware\wareji01,1967,1969,F,6-7,210,May 2 1944,Oklahoma City University
Ben Warley\warlebe01,1963,1970,F-G,6-5,200,September 4 1936,Tennessee State University
Bob Warlick\warlibo01,1966,1970,G-F,6-5,200,March 20 1941,Pepperdine University
Cornell Warner\warneco01,1971,1977,F-C,6-9,220,August 12 1948,Jackson State University
Jameel Warney\warneja01,2018,2018,F,6-8,260,January 31 1994,Stony Brook University
Bob Warren\warrebo01,1969,1976,G,6-5,190,July 17 1946,Vanderbilt University
John Warren\warrejo01,1970,1974,G-F,6-3,180,July 7 1947,St. John's University
T.J. Warren\warretj01,2015,2019,F,6-8,215,September 5 1993,North Carolina State University
Willie Warren\warrewi01,2011,2011,G,6-4,203,October 22 1989,University of Oklahoma
Bryan Warrick\warribr01,1983,1986,G,6-5,195,July 22 1959,Saint Joseph's University
Hakim Warrick\warriha01,2006,2013,F,6-9,219,July 8 1982,Syracuse University
Chris Washburn\washbch01,1987,1988,C,6-11,225,May 13 1965,North Carolina State University
Julian Washburn\washbju01,2019,2019,F,6-8,210,December 18 1991,
Bobby Washington\washibo01,1970,1972,G,5-11,175,July 11 1947,Eastern Kentucky University
Darius Washington\washida01,2008,2008,G,6-2,195,December 6 1985,University of Memphis
Donald Washington\washido01,1975,1976,F,6-8,210,April 22 1952,University of North Carolina
Duane Washington\washidu01,1988,1993,G,6-4,195,August 31 1964,Middle Tennessee State University
Eric Washington\washier01,1998,1999,G,6-4,190,March 23 1974,University of Alabama
Jim Washington\washiji01,1966,1976,F-C,6-6,210,July 1 1943,Villanova University
Kermit Washington\washike01,1974,1988,F-C,6-8,230,September 17 1951,American University
Pearl Washington\washipe01,1987,1989,G,6-2,190,January 6 1964,Syracuse University
Richard Washington\washiri01,1977,1982,F-C,6-11,220,July 15 1955,University of California Los Angeles
Stan Washington\washist01,1975,1975,G,6-4,190,January 23 1952,University of San Diego
Trooper Washington\washitr01,1968,1973,F-C,6-7,215,April 21 1944,Cheyney University of Pennsylvania
Wilson Washington\washiwi01,1978,1979,F-C,6-9,227,August 3 1955,Old Dominion University
Yuta Watanabe\watanyu01,2019,2019,F,6-9,205,October 13 1994,George Washington University
Darryl Watkins\watkida01,2008,2012,C,6-11,258,November 8 1984,Syracuse University
Bobby Watson\watsobo01,1955,1955,G,6-0,160,March 22 1930,University of Kentucky
C.J. Watson\watsocj01,2008,2017,G,6-2,175,April 17 1984,University of Tennessee
Earl Watson\watsoea01,2002,2014,G,6-1,195,June 12 1979,University of California Los Angeles
Jamie Watson\watsoja01,1995,1999,F,6-7,190,February 23 1972,University of South Carolina
Ron Watts\wattsro01,1966,1967,F,6-6,210,May 21 1943,Wake Forest University
Samuel Watts\wattssa01,1971,1971,G,6-3,185,March 14 1948,Florida Agricultural and Mechanical University
Slick Watts\wattssl01,1974,1979,G,6-1,175,July 22 1951,Xavier University of Louisiana
Maalik Wayns\waynsma01,2013,2014,G,6-2,200,May 2 1991,Villanova University
David Wear\wearda01,2015,2015,F,6-10,230,September 21 1990,University of North Carolina University of California Los Angeles
Travis Wear\weartr01,2015,2018,F,6-10,230,September 21 1990,University of North Carolina University of California Los Angeles
Clarence Weatherspoon\weathcl01,1993,2005,F,6-6,240,September 8 1970,University of Southern Mississippi
Nick Weatherspoon\weathni01,1974,1980,F,6-7,195,July 20 1950,University of Illinois at Urbana-Champaign
Kyle Weaver\weaveky01,2009,2011,G,6-6,201,February 18 1986,Washington State University
James Webb\webbja01,2018,2018,F,6-9,202,August 19 1993,Boise State University
Jeff Webb\webbje01,1971,1972,G,6-4,170,July 6 1948,Kansas State University
Marcus Webb\webbma01,1993,1993,F-C,6-9,255,May 9 1970,University of Alabama
Spud Webb\webbsp01,1986,1998,G,5-6,133,July 13 1963,Midland College North Carolina State University
Chris Webber\webbech01,1994,2008,F-C,6-9,245,March 1 1973,University of Michigan
Briante Weber\weberbr01,2016,2018,G,6-2,165,December 29 1992,Virginia Commonwealth University
Jake Weber\weberja01,1947,1947,C,6-6,225,March 18 1918,Purdue University
Elnardo Webster\webstel01,1972,1972,F,6-5,190,March 6 1948,Saint Peter's College
Jeff Webster\webstje01,1996,1996,F,6-8,232,February 19 1971,University of Oklahoma
Martell Webster\webstma02,2006,2015,G-F,6-7,230,December 4 1986,
Marvin Webster\webstma01,1976,1987,C,7-1,225,April 13 1952,Morgan State University
Scott Wedman\wedmasc01,1975,1987,F-G,6-7,215,July 29 1952,University of Colorado
Sonny Weems\weemsso01,2009,2016,G-F,6-6,205,July 8 1986,University of Arkansas
Dick Wehr\wehrdi01,1949,1949,F,6-4,180,December 9 1925,Rice University
Brant Weidner\weidnbr01,1984,1984,F,6-9,230,October 28 1960,College of William & Mary
Bob Weiss\weissbo01,1966,1977,G,6-2,180,May 7 1942,Pennsylvania State University
Rick Weitzman\weitzri01,1968,1968,G,6-2,175,April 30 1946,Northeastern University
Bonzi Wells\wellsbo01,1999,2008,G-F,6-5,210,September 28 1976,Ball State University
Bubba Wells\wellsbu01,1998,1998,F,6-5,230,July 26 1974,Austin Peay State University
Owen Wells\wellsow01,1975,1975,F,6-7,200,December 9 1950,University of Detroit Mercy
Ralph Wells\wellsra01,1963,1963,G,6-1,180,September 3 1940,Northwestern University
Chris Welp\welpch01,1988,1990,C,7-0,245,January 2 1964,University of Washington
Jiri Welsch\welscji01,2003,2006,G,6-7,208,January 27 1980,
Thomas Welsh\welshth01,2019,2019,C,7-0,255,February 3 1996,University of California Los Angeles
Bill Wennington\wennibi01,1986,2000,C,7-0,245,April 26 1963,St. John's University
Matt Wenstrom\wenstma01,1994,1994,C,7-1,250,November 4 1970,University of North Carolina
Robert Werdann\werdaro01,1993,1997,C,6-11,250,September 12 1970,St. John's University
Ray Wertis\wertira01,1947,1948,G,5-11,,January 1 1922,St. John's University
David Wesley\wesleda01,1994,2007,G,6-0,190,November 14 1970,Baylor University
Walt Wesley\weslewa01,1967,1976,C,6-11,220,January 25 1945,University of Kansas
David West\westda01,2004,2018,F-C,6-9,250,August 29 1980,Xavier University
Delonte West\westde01,2005,2012,G,6-4,180,July 26 1983,Saint Joseph's University
Doug West\westdo01,1990,2001,G-F,6-6,200,May 27 1967,Villanova University
Jerry West*\westje01,1961,1974,G,6-2,175,May 28 1938,West Virginia University
Mario West\westma02,2008,2011,G,6-5,210,June 19 1984,Georgia Institute of Technology
Mark West\westma01,1984,2000,C-F,6-10,230,November 5 1960,Old Dominion University
Roland West\westro01,1968,1968,G,6-4,178,June 6 1944,University of Cincinnati
Dexter Westbrook\westbde01,1968,1968,F,6-8,190,,Providence College
Russell Westbrook\westbru01,2009,2019,G,6-3,200,November 12 1988,University of California Los Angeles
Paul Westphal*\westppa01,1973,1984,G,6-4,195,November 30 1950,University of Southern California
John Wetzel\wetzejo01,1968,1976,G-F,6-5,190,October 22 1944,Virginia Polytechnic Institute and State University
Robert Whaley\whalero01,2006,2006,C,6-10,260,April 16 1982,Barton County Community College University of Cincinnati Walsh University
Ennis Whatley\whatlen01,1984,1997,G,6-3,177,August 11 1962,University of Alabama
DeJuan Wheat\wheatde01,1998,1999,G,6-0,165,October 14 1973,University of Louisville
Clinton Wheeler\wheelcl01,1988,1989,G,6-1,185,October 27 1959,William Paterson University
Tyson Wheeler\wheelty01,1999,1999,G,5-10,165,October 8 1975,University of Rhode Island
Skippy Whitaker\whitask01,1955,1955,G,6-1,180,August 29 1930,University of Kentucky
Andrew White\whitean01,2018,2018,G,6-7,210,June 16 1993,University of Nebraska Syracuse University
D.J. White\whitedj01,2009,2014,F,6-9,251,August 31 1986,Indiana University
Derrick White\whitede01,2018,2019,G,6-4,190,July 2 1994,University of Colorado
Eric White\whiteer01,1988,1989,F,6-8,200,December 30 1965,Pepperdine University
Herb White\whitehe01,1971,1971,G,6-2,195,June 15 1948,University of Georgia
Hubie White\whitehu01,1963,1971,G-F,6-4,205,January 26 1940,Villanova University
Jahidi White\whiteja01,1999,2005,F-C,6-9,290,February 19 1976,Georgetown University
James White\whiteja02,2007,2013,G-F,6-7,200,October 21 1982,University of Florida University of Cincinnati
Jo Jo White*\whitejo01,1970,1981,G,6-3,190,November 16 1946,University of Kansas
Okaro White\whiteok01,2017,2019,F,6-8,205,August 13 1992,Florida State University
Randy White\whitera01,1990,1994,F,6-8,240,November 4 1967,Louisiana Tech University
Rodney White\whitero02,2002,2005,F,6-9,238,June 28 1980,University of North Carolina at Charlotte
Rory White\whitero01,1983,1987,F,6-8,210,August 16 1959,University of South Alabama
Royce White\whitero03,2014,2014,F,6-8,270,April 10 1991,Iowa State University
Rudy White\whiteru01,1976,1981,G,6-2,195,June 23 1953,Arizona State University
Tony White\whiteto01,1988,1988,G,6-2,170,February 15 1965,University of Tennessee
Willie White\whitewi01,1985,1986,G,6-3,195,August 20 1962,University of Tennessee at Chattanooga
Isaiah Whitehead\whiteis01,2017,2018,G,6-4,213,March 8 1995,Seton Hall University
Jerome Whitehead\whiteje01,1979,1989,C-F,6-10,220,September 30 1956,Marquette University
Donald Whiteside\whitedo01,1997,1998,G,5-10,160,April 25 1969,Northern Illinois University
Hassan Whiteside\whiteha01,2011,2019,C,7-0,265,June 13 1989,Marshall University
Dwayne Whitfield\whitfdw01,1996,1996,F,6-9,240,August 21 1972,Jackson State University
Chris Whitney\whitnch01,1994,2004,G,6-0,168,October 5 1971,Clemson University
Hank Whitney\whitnha01,1968,1970,F-C,6-7,230,April 28 1939,Iowa State University
Hawkeye Whitney\whitnha02,1981,1982,G-F,6-5,235,June 22 1957,North Carolina State University
Shayne Whittington\whittsh01,2015,2016,F-C,6-11,250,March 27 1991,Western Michigan University
Sidney Wicks\wickssi01,1972,1981,F-C,6-8,225,September 19 1949,University of California Los Angeles
Ron Widby\widbyro01,1968,1968,F,6-4,210,March 9 1945,University of Tennessee
Murray Wier\wiermu01,1950,1950,G,5-9,155,December 12 1926,University of Iowa
Bob Wiesenhahn\wiesebo01,1962,1962,F,6-4,215,December 22 1938,University of Cincinnati
Andrew Wiggins\wiggian01,2015,2019,F-G,6-8,194,February 23 1995,University of Kansas
Mitchell Wiggins\wiggimi01,1984,1992,G,6-4,185,September 28 1959,Clemson University Florida State University
Ken Wilburn\wilbuke01,1968,1969,F,6-6,195,June 8 1944,Central State University
C.J. Wilcox\wilcocj01,2015,2017,G,6-5,195,December 30 1990,University of Washington
Chris Wilcox\wilcoch01,2003,2013,F,6-10,221,September 3 1982,University of Maryland
D.C. Wilcutt\wilcudc01,1949,1950,G,6-2,165,March 25 1923,Saint Louis University
Gene Wiley\wileyge01,1963,1968,C,6-10,210,November 12 1937,Wichita State University
Jacob Wiley\wileyja01,2018,2018,F,6-7,215,September 4 1994,Eastern Washington University
Michael Wiley\wileymi01,1981,1982,F,6-9,200,October 16 1957,California State University Long Beach
Morlon Wiley\wileymo01,1989,1995,G,6-4,185,September 24 1966,California State University Long Beach
Win Wilfong\wilfowi01,1958,1961,G-F,6-2,185,March 18 1933,University of Memphis
Lenny Wilkens*\wilkele01,1961,1975,G,6-1,180,October 28 1937,Providence College
Bob Wilkerson\wilkebo01,1977,1983,G-F,6-6,195,August 15 1954,Indiana University
Jamaal Wilkes*\wilkeja01,1975,1986,F-G,6-6,190,May 2 1953,University of California Los Angeles
James Wilkes\wilkeja02,1981,1983,F,6-7,195,April 1 1958,University of California Los Angeles
Damien Wilkins\wilkida02,2005,2018,F-G,6-6,225,January 11 1980,North Carolina State University University of Georgia
Dominique Wilkins*\wilkido01,1983,1999,F-G,6-7,200,January 12 1960,University of Georgia
Eddie Lee Wilkins\wilkied01,1985,1993,F-C,6-10,220,May 7 1962,Gardner-Webb University
Gerald Wilkins\wilkige01,1986,1999,G-F,6-6,185,September 11 1963,University of Tennessee at Chattanooga
Jeff Wilkins\wilkije01,1981,1986,C-F,6-11,230,March 9 1955,Illinois State University
Dale Wilkinson\wilkida01,1985,1985,F,6-10,220,March 18 1960,Idaho State University
Mike Wilks\wilksmi01,2003,2010,G,5-10,185,May 7 1979,Rice University
Aaron Williams\williaa01,1994,2008,F-C,6-9,220,October 2 1971,Xavier University
Al Williams\willial01,1971,1971,F,6-6,200,February 3 1948,Drake University
Alan Williams\willial03,2016,2019,F-C,6-8,265,January 28 1993,University of California Santa Barbara
Alvin Williams\willial02,1998,2007,G,6-5,185,August 6 1974,Villanova University
Art Williams\williar01,1968,1975,G,6-1,180,September 29 1939,California State Polytechnic University Pomona
Bernie Williams\willibe01,1970,1974,G,6-3,175,December 30 1945,La Salle University
Bob Williams\willibo01,1956,1957,F,6-6,230,May 12 1931,Florida Agricultural and Mechanical University
Brandon Williams\willibr01,1998,2003,G,6-6,215,February 27 1975,Davidson College
Buck Williams\willibu01,1982,1998,F-C,6-8,215,March 8 1960,University of Maryland
C.J. Williams\willicj01,2018,2019,G,6-5,226,February 6 1990,North Carolina State University
Charles Williams\willich01,1968,1973,G,6-0,165,September 5 1943,Seattle University
Chuck Williams\willich02,1971,1978,G,6-2,175,June 6 1946,University of Colorado
Chuckie Williams\willich03,1977,1977,G,6-3,180,December 31 1953,Kansas State University
Cliff Williams\willicl01,1969,1969,G,6-3,180,April 15 1945,Bowling Green State University
Corey Williams\willico01,1993,1994,G,6-2,190,April 24 1970,Oklahoma State University
Deron Williams\willide01,2006,2017,G,6-3,200,June 26 1984,University of Illinois at Urbana-Champaign
Derrick Williams\willide02,2012,2018,F,6-8,240,May 25 1991,University of Arizona
Duck Williams\willidu01,1980,1980,G,6-2,180,August 2 1956,University of Notre Dame
Earl Williams\williea01,1975,1979,C-F,6-7,230,March 24 1951,Winston-Salem State University
